"","Question","wrangling","coding","d.trees","sna","nlp","viz","n.nets","googleable","non.googleable","jitl","substantive"
"1","Q1_c",1,1,0,0,0,0,0,1,0,0,0
"2","Q2_c",0,1,0,0,0,0,0,0,1,0,0
"3","Q3_c",1,1,0,0,0,1,0,1,0,0,0
"4","Q4_c",1,1,0,0,0,1,0,0,1,0,0
"5","Q5_c",1,0,0,0,0,0,0,1,0,0,0
"6","Q6_c",0,1,0,0,0,0,0,0,1,0,0
"7","Q7_c",0,0,1,0,0,0,0,1,0,0,0
"8","Q8_c",0,1,1,0,0,0,0,1,0,0,0
"9","Q9_c",0,1,1,0,0,0,0,1,0,0,0
"10","Q10_c",0,0,1,0,0,0,0,1,0,0,0
"11","Q11_c",0,0,0,1,0,0,0,1,0,0,0
"12","Q12_c",0,1,0,1,0,0,0,1,0,0,0
"13","Q13_c",0,1,0,1,0,0,0,1,0,1,0
"14","Q14_c",0,0,0,1,0,0,0,0,1,0,0
"15","Q15_c",0,0,0,1,0,0,0,1,0,0,0
"16","Q16_c",0,1,0,1,0,0,0,1,0,0,0
"17","Q17_c",0,0,0,0,1,0,0,1,0,0,0
"18","Q18_c",0,0,0,0,1,0,0,1,0,0,0
"19","Q19_c",0,0,0,0,1,0,0,0,1,0,0
"20","Q20_c",0,1,0,0,1,0,0,1,0,0,0
"21","Q21_c",0,0,0,0,1,0,0,1,0,0,0
"22","Q22_c",0,0,0,0,1,0,0,1,0,0,0
"23","Q23_c",0,1,0,0,1,0,0,0,1,0,1
"24","Q24_c",0,0,0,0,1,0,0,0,1,0,1
"25","Q25_c",0,0,0,0,1,0,0,0,1,0,1
"26","Q26_c",0,1,0,0,0,1,0,0,1,0,0
"27","Q27_c",0,0,0,0,0,0,1,1,0,1,0
"28","Q28_c",0,0,0,0,0,0,1,1,0,0,1
"29","Q29_c",0,0,0,0,0,0,1,0,1,0,1
"30","Q30_c",0,0,0,0,0,0,0,0,1,0,0
